log2(PTR):genome_id/sample_id,30016-MG-S1_1,30028-MG-S2_1,30092-MG-S3_1,30094-MG-S4_1,30098-MG-S5_1,30103-MG-S6_1,30108-MG-S7_1,30109-MG-S8_1,30139-MG-S9_1,30145-MG-S10_1,30147-MG-S11_1,30160-MG-S12_1,30161-MG-S13_1,30165-MG-S14_1,30177-MG-S15_1,30186-MG-S16_1,30201-MG-S17_1,30202-MG-S18_1,30207_S5_merged_unique,30208_S6_merged_unique,30212-MG-S19_1,30222-MG-S20_1,30233-MG-S21_1,30245-MG-S22_1,30279-MG-S23_1,30292-MG-S24_1,30294-MG-S25_1,30371-MG-S26_1,30378-MG-S27_1,30413-MG-S28_1,30438-MG-S29_1,30444-MG-S30_1,30468-MG-S31_1,30483-MG-S32_1,30522-MG-S33_1,30526-MG-S34_1,30534-MG-S35_1,30535-MG-S36_1,30537-MG-S37_1,30543-MG-S38_1,30554-MG-S39_1,30557-MG-S40_1,30562-MG-S41_1,30566-MG-S42_1,30577-MG-S43_1,30581-MG-S44_1,30582-MG-S45_1,30592-MG-S46_1,30593-MG-S47_1,30623_S8_merged_unique,30627-MG-S48_1,30628-MG-S49_1,30629-MG-S50_1,30641-MG-S51_1,30652-MG-S52_1,30714-MG-S53_1,30754-MG-S54_1,30809-MG-S58_1,30821-MG-S59_1,30837-MG-S60_1,30863-MG-S61_1,30935-MG-S63_1,30966-MG-S65_1,30974-MG-S66_1,31005-MG-S67_1,31013-MG-S68_1,31015-MG-S69_1,31016-MG-S70_1,31022-MG-S71_1,31033-MG-S73_1,31042-MG-S74_1,31048_S11_merged_unique,31051-MG-S75_1,31056-MG-S76_1,31063-MG-S77_1,31078-MG-S78_1,31080-MG-S79_1,31101-MG-S80_1,31109-MG-S81_1,31134_S16_merged_unique,31155-MG-S82_1,31156-MG-S83_1,31171_S18_merged_unique,31185-MG-S84_1,31238-MG-S85_1,31246_S19_merged_unique,31247-MG-S86_1,31258-MG-S87_1,31359_S13_L001_R1_filtered_unique,31368_S25_L001_R1_filtered_unique,31400-MG-S89_1,31426_S49_L001_R1_filtered_unique,31427_S25_merged_unique,31435-MG-S90_1,31482_S26_L001_R1_filtered_unique,31489_S38_L001_R1_filtered_unique,31492_S62_L001_R1_filtered_unique,31499_S86_L001_R1_filtered_unique,31511_S27_L001_R1_filtered_unique,31521_S51_L001_R1_filtered_unique,31524_S63_L001_R1_filtered_unique,31531_S75_L001_R1_filtered_unique,31534_S87_L001_R1_filtered_unique,31537_S16_L001_R1_filtered_unique,31541_S40_L001_R1_filtered_unique,31545_S76_L001_R1_filtered_unique,31550_S88_L001_R1_filtered_unique,31556_S17_L001_R1_filtered_unique,31564_S41_L001_R1_filtered_unique,31566_S53_L001_R1_filtered_unique,31572_S77_L001_R1_filtered_unique,31573_S89_L001_R1_filtered_unique,31574_S6_L001_R1_filtered_unique,31582_S30_L001_R1_filtered_unique,31597_S66_L001_R1_filtered_unique,31598_S78_L001_R1_filtered_unique,31605_S7_L001_R1_filtered_unique,31607_S19_L001_R1_filtered_unique,31619_S43_L001_R1_filtered_unique,31620_S55_L001_R1_filtered_unique,31631_S79_L001_R1_filtered_unique,31634_S91_L001_R1_filtered_unique,31643_S32_L001_R1_filtered_unique,31679_S29_merged_unique,31705_S31_merged_unique,31725_S31_L001_R1_filtered_unique,31760_S34_merged_unique,31764_S35_merged_unique,31768_S37_merged_unique,31791_S38_merged_unique,31817_S41_merged_unique,31849_S80_L001_R1_filtered_unique,31876_S43_merged_unique,31922_S44_merged_unique,31951_S45_merged_unique
1351.389.patric,,,0.21479578034477814,0.32089948709024396,,,,,,,,,0.20187951718609629,,,,,,,0.2561169694108322,,0.26955169976029414,,,0.2062347465865233,0.3295879743114356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5863730889597931,,,,,0.3755919247097196,0.4081116736983191,,,0.3657402645801827,4.4523961317214315e-08,,,,,,,,,,,,,,,,,,,0.21434390905578546,,,0.42805369663383763,,,,,,,,,,,,,,,,,0.5797393229413123,,,,,,0.184581354793793,,,,,,,,,,,,,,,,,,,,,
1360.91.patric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.36598676362263555,,,,,,,,,,,,,,,,,,,,0.3625218109401742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137591.32.patric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3404579464433397,,,,,,,,,,,,,,,,0.350742886585283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.42795175750132647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1385939.3.patric,,,,0.25771793435197504,,,,,,,,,,,,,,,,,,,0.7479707899552911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.48635394665807213,,0.1971377468722172,0.3155108562352612,,0.11007935324606266,,,0.7023193833922312,,,,,,,,,,,,,,,,,,,,,,,0.43869862736337817,,,,,,,,,,,,,,0.43419503032648377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1496.843.patric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23226942524310085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1590.269.patric,,,,,,,,,,,,,,,,,,,,,,,0.7150190371206115,,,,,,,,,,,,,,,,,,,0.5999509405313073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6562726631696401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167968.3.patric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16323066760708793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1736.8.patric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23396550610694092,,,,,,,,,,,,,,6.462715013171292e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1752.46.patric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12734141558467227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1759399.3.patric,,,,,,,,,,,0.8144398195210456,,,,,,,,,,,0.8878623766047544,,,,,,,0.6379603073152049,,,,,,,,,,,,0.697401545672022,,,,,,,,,,,,,,,,0.7179646663520269,,,,,,,0.5293367110273733,0.8928584678332722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1796616.4.patric,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5564735568349121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3959739815815626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540341130.img,,0.7303735710069743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.48269675316470556,,,,,,,,,,,,,,,,,,,,,,,0.36739541827887606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3056085573088333,,,,,0.28584930519543283,,,,
2554235311.img,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3319217914162107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272621.13.patric,,,,,,,,,,,,,,0.3282584397112436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0804860815924052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4816862603767973,,,,,,,,,,,,,,,,,,,,,,,,,
28025.10.patric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5662809180560262,,,,,,,,,,,,,,,,,,,,,,,,0.488225458570601,,,,,,,,,,,,,,,,,,,,,,,0.5258370812483593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296.9.patric,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6967527932888001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
349741.6.patric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.36517532182288004,,,,,,,,,,,,0.4320193094104792,,,,,,,,0.47151151864217733,,,,,,,,,,,,,,,,,,,,,,,,,0.21169564878796363,,,,,,,,,,,,,,,,,,,,,,,,,,0.3608560138564143,,,,,,,,,,,,
39950.5.patric,,0.28877546100495083,,,,,,,,,,,,,,,,,,,,,,,,,,0.1627222680995936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43675.28.patric,,,,,,,,,,,0.9670613888976209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7688511059921199,,,,,,,,,,,,,,,,,,,,,,,0.7573022800811826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
469595.8.patric,,,0.1749944994243281,,,,1.0516681602226219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3700384010060156,0.541261010217361,,,,,,,,,,,,,,,,,,,,,,,,,,,0.44981650484378183,,,,,,,,,
